Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 12/12/2022 7:00:06 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Agbiboa,Daniel",11,0,0,2,0,0,0,13
218819,AFRAMER 115Y,Introduction to African Popula,LEC,African & African Amer Studies,"Ogene,Timothy",9,1,0,0,0,0,0,10
220165,AFRAMER 115Z,African Literature and Culture,001,African & African Amer Studies,"Ogene,Timothy",1,2,1,0,0,0,0,4
122496,AFRAMER 174X,African Architecture,001,African & African Amer Studies,"Blier,Suzanne",4,0,0,2,0,0,0,6
216012,AFRAMER 180Y,"Social Theory, In and Out of A",001,African & African Amer Studies,"Comaroff,Jean",2,1,0,0,0,0,0,3
216732,AFRAMER 181X,African Religion in the Diaspo,001,African & African Amer Studies,"Olupona,Jacob",2,2,0,0,0,0,0,4
220490,AFRAMER 184X,Jim Crow: Histories and Reviva,001,African & African Amer Studies,"Eatmon,Myisha",18,1,0,0,0,0,0,19
108678,AFRAMER 190X,The Anthropology of Law,001,African & African Amer Studies,"Comaroff,John",0,0,0,0,0,0,0,0
118883,AFRAMER 20,African Languages & Cultures,001,African & African Amer Studies,"Mugane,John M",5,0,0,0,0,0,0,5
220164,AFRAMER 215X,Black Literary Avant-Gardes,001,African & African Amer Studies,"McCarthy,Jesse",2,7,1,0,0,0,0,10
210981,AFRAMER 392,"Teaching, Writing, and Researc",001,African & African Amer Studies,"de la Fuente,Alejandro",0,19,0,0,0,0,0,19
122706,AFRAMER 398,Reading and Research,026,African & African Amer Studies,"Monson,Ingrid",0,0,0,0,0,0,0,0
110605,AFRAMER 91R,Supervised Reading and Researc,001,African & African Amer Studies,"Brown,Vincent",0,1,0,0,0,0,0,1
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Brown,Vincent",1,0,0,0,0,0,0,1
118023,AFRAMER 98,Junior Tutorial - African Am,002,African & African Amer Studies,"Brown,Vincent",0,0,0,0,0,0,0,0
124132,AFRAMER 99A,Senior Thesis Workshop,001,African & African Amer Studies,"Brown,Vincent",6,0,0,0,0,0,0,6
205836,AFRIKAAN 101BR,Advanced Afrikaans II,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
109427,AFRIKAAN AA,Elementary Afrikaans,001,African & African Amer Studies,"Mugane,John M",30,2,0,0,0,0,0,32
122679,AFVS 107,Studies of Built N Amer Enviro,001,"Art, Film, and Visual Studies","Stilgoe,John R.",18,0,0,0,0,0,0,18
213509,AFVS 118C,Curating Contemporary Art,001,"Art, Film, and Visual Studies","Byers,Daniel Isenberg",9,0,0,1,0,0,0,10
203312,AFVS 12,Drawing 1:,1,"Art, Film, and Visual Studies","Burin,Katarina",13,0,0,1,0,0,0,14
216297,AFVS 120,Thinking With Your Hand,001,"Art, Film, and Visual Studies","Belzer,Judith",11,0,0,1,0,0,0,12
203314,AFVS 14,Making Things [Breaking Things,1,"Art, Film, and Visual Studies","Burin,Katarina",11,0,0,6,0,0,0,17
213475,AFVS 144M,Photography and Ecology,1,"Art, Film, and Visual Studies","Best,Makeda Djata",13,0,0,0,0,0,0,13
220423,AFVS 145K,Photography and Evidence,001,"Art, Film, and Visual Studies","Kim,Dawn",4,2,0,1,0,0,0,7
114116,AFVS 150A,Film Directing: Fiction Now,001,"Art, Film, and Visual Studies","Sotomayor Castillo,Dominga",10,0,0,0,0,0,0,10
113447,AFVS 151BR,Nonfiction Video Projects,001,"Art, Film, and Visual Studies","McElwee,Ross",6,0,0,0,0,0,0,6
113055,AFVS 153BR,Intermediate Animation Studio,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",7,1,0,0,0,0,0,8
216369,AFVS 157L,Immersive Experience as Art,001,"Art, Film, and Visual Studies","Lee,Young Joo",10,0,0,1,0,0,0,11
216367,AFVS 158CR,Sensory Ethnography III,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",1,2,0,2,0,0,0,5
216368,AFVS 158DR,Sensory Ethnography IV,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",1,2,0,2,0,0,0,5
121758,AFVS 15AR,Silkscreen,001,"Art, Film, and Visual Studies","Lemieux,Annette",12,0,0,0,0,0,0,12
220421,AFVS 163,Working with Actors and Non-Ac,001,"Art, Film, and Visual Studies","Sotomayor Castillo,Dominga",11,0,0,0,0,0,0,11
205411,AFVS 165V,Vertical Cinema,001,"Art, Film, and Visual Studies","Pandian,Karthik",5,0,1,3,0,0,0,9
117143,AFVS 166,North Am Seacoasts & Landscape,001,"Art, Film, and Visual Studies","Stilgoe,John R.",11,0,0,0,0,0,0,11
220422,AFVS 194,David Lynch and the American I,001,"Art, Film, and Visual Studies","Lim,Dennis",17,0,0,1,0,0,0,18
119636,AFVS 196R,Directed Rsch: Studio Course,001,"Art, Film, and Visual Studies","Prina,Stephen",6,0,0,3,0,0,0,9
205203,AFVS 205,Grad. Sem. in Curricular Dev.,1,"Art, Film, and Visual Studies","Frahm,Laura A.",0,3,0,0,0,0,0,3
110046,AFVS 241,New Media Theory,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,5,0,2,0,0,0,7
122841,AFVS 301,Film and Visual Studies Worksh,001,"Art, Film, and Visual Studies","Rentschler,Eric",0,9,0,0,0,0,0,9
124317,AFVS 310,Reading and Research,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,15,0,0,0,0,0,15
124316,AFVS 320,Directed Study,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,0,0,0,0,0,0,0
156525,AFVS 330R,Teaching Workshop,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,8,0,0,0,0,0,8
127539,AFVS 351HF,Non-Fiction Filmmaking Wkshp,1,"Art, Film, and Visual Studies","Pimenta,Joana",0,3,0,0,0,0,0,3
108649,AFVS 35R,Building Thought,001,"Art, Film, and Visual Studies","Lemieux,Annette",10,0,0,2,0,0,0,12
220429,AFVS 40H,Intro to Still Photography,001,"Art, Film, and Visual Studies","Helmar,Patrice",10,0,0,0,0,0,0,10
220429,AFVS 40H,Intro to Still Photography,002,"Art, Film, and Visual Studies","Helmar,Patrice",9,0,0,1,0,0,0,10
114351,AFVS 50A,Introduction to Non Fiction Fi,001,"Art, Film, and Visual Studies","Moss,Robb",10,0,0,0,0,0,0,10
218678,AFVS 51S,Intro to Documentary Product.,1,"Art, Film, and Visual Studies","Owusu,Akosua Adoma",10,0,0,0,0,0,0,10
108859,AFVS 52,Intro to Nonfiction Videomaki,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",7,2,0,1,0,0,0,10
220420,AFVS 58T,A Video Toolbox,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",8,0,0,0,0,0,0,8
220428,AFVS 59,Experimental Animation,001,"Art, Film, and Visual Studies","Lee,Young Joo",4,0,0,4,0,0,0,8
219561,AFVS 76,The Language of Modern Art,001,"Art, Film, and Visual Studies","Joselit,David",32,1,0,3,0,0,0,36
117193,AFVS 91R,Special Projects,001,"Art, Film, and Visual Studies","Saunders,Matt",6,0,0,0,0,0,0,6
110715,AFVS 98R,Tutorial - Junior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",1,0,0,0,0,0,0,1
117196,AFVS 99A,Tutorial - Senior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",5,0,0,0,0,0,0,5
159861,AFVS 99B,Tutorial - Senior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",1,0,0,0,0,0,0,1
114320,AKKAD AA,Introductory Akkadian I,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,2,0,2,0,0,0,5
126300,AMHARIC AA,Elementary Amharic,001,African & African Amer Studies,"Mugane,John M",2,0,0,4,0,0,0,6
205853,AMHARIC BA,Intermediate Amharic,001,African & African Amer Studies,"Mugane,John M",5,0,0,3,0,0,0,8
205186,AMSTDIES 314A,Colloquium on Pedagogy,001,American Studies,"Bernstein,Robin",0,4,0,0,0,0,0,4
214390,AMSTDIES 397,Graduate Research,001,American Studies,"McKanan,Dan",0,0,0,0,0,0,0,0
110946,AMSTDIES 398,Reading and Research,015,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,021,American Studies,"McGirr,Lisa M.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,022,American Studies,"McKanan,Dan",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,028,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,039,American Studies,"Deloria,Philip",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,003,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,009,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,013,American Studies,"Sommer,Doris",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,018,American Studies,"Deloria,Philip",0,4,0,0,0,0,0,4
124363,AMSTDIES 399,Doctoral Dissertatn Direction,020,American Studies,"Kim,Ju Yon",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,021,American Studies,"Mack,Kenneth W.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,022,American Studies,"Reid-Pharr,Robert Fitzgerald",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,023,American Studies,"McKanan,Dan",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,024,American Studies,"Soto Laveaga,Gabriela",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,025,American Studies,"Joselit,David",0,1,0,0,0,0,0,1
218545,ANE 197,Bible and Empire,001,Near Eastern Languages & Civ,"Rhyder,Julia Victoria",4,2,0,0,0,0,0,6
220068,ANE 202,Bible & Mesopotamian Tradition,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,6,0,0,0,0,0,7
144784,ANE 222,Hebrew Bible Studies,001,Near Eastern Languages & Civ,"Rhyder,Julia Victoria",2,5,0,0,0,0,0,7
